Year,Variable,Unit,Commodity,Population,Production,Imports,Beginning stocks,Supply,Exports,Shipments to U.S. territories,Fed to animals,Nonfood use,Ending stocks,Amount,Pcc Amount
1997,Dairy,Million pounds,Other cheese,272.912,4044.856,218.396048,107.277,4370.529048,48.69124846,29,,,69.994,4222.843799,15.47328003
1998,Dairy,Million pounds,Other cheese,276.115,4177.467,257.7862808,69.994,4505.247281,50.83980349,29,,,109.523,4315.884477,15.63074979
1999,Dairy,Million pounds,Other cheese,279.295,4373.324,293.3973379,109.523,4776.244338,58.87255683,35,,,163.271,4519.100781,16.18038555
2000,Dairy,Million pounds,Other cheese,282.385,4616.374,295.9111747,163.271,5075.556175,76.05096381,55,,,185.186,4759.319211,16.85400857
2001,Dairy,Million pounds,Other cheese,285.309019,4716.443,303.3158463,185.186,5204.944846,92.05282964,54,,,210.936,4847.956017,16.99194801
2002,Dairy,Million pounds,Other cheese,288.104818,4856.289,318.4287376,210.936,5385.653738,92.43276114,43,,,236.799,5013.421976,17.40138194
2003,Dairy,Million pounds,Other cheese,290.819634,4935.587,327.4103563,236.799,5499.796356,85.52440521,35,,,232.967,5146.304951,17.69586489
2004,Dairy,Million pounds,Other cheese,293.463185,5134.324,320.4288157,232.967,5687.719816,104.433903,48,,,224.713,5310.572913,18.09621508
2005,Dairy,Million pounds,Other cheese,296.186216,5341.22,333.6639745,224.713,5899.596974,94.37730477,56.251,,,221.255,5527.71367,18.66296732
2006,Dairy,Million pounds,Other cheese,298.995825,5611.898,323.9746828,221.255,6157.127683,124.3669259,39.39206,,,283.229,5710.139697,19.09772385
2007,Dairy,Million pounds,Other cheese,302.003917,5899.571,304.7326164,283.229,6487.532616,157.5711475,36.157069,,,289.648,6004.1564,19.88105472
2008,Dairy,Million pounds,Other cheese,304.797761,5804.263,263.3628041,289.648,6357.273804,200.2424657,46.454288,,,313.855,5796.72205,19.01825667
2009,Dairy,Million pounds,Other cheese,307.439406,5871.663,247.1290274,313.855,6432.647027,183.0720998,56.680128,,,381.777,5811.1178,18.90166871
2010,Dairy,Million pounds,Other cheese,309.76667,6154.056,219.2276207,381.777,6755.060621,266.5811679,56.3789276,,,417.137,6014.963525,19.41772343
2011,Dairy,Million pounds,Other cheese,312.138672,6368.336,227.7725124,417.137,7013.245512,335.3196992,65.11004818,,,380.618,6232.197765,19.96611866
2012,Dairy,Million pounds,Other cheese,314.334945,6530.989,243.3010082,380.618,7154.908008,409.9531045,61.40247857,,,387.512,6296.040425,20.02971838
2013,Dairy,Million pounds,Other cheese,316.505959,6681.821,233.108728,387.512,7302.441728,497.086,59.3136578,,,391.116,6354.92607,20.07837732
2014,Dairy,Million pounds,Other cheese,318.839403,6924.082,255.671,391.116,7570.869,589.82,57.20481244,,,390.167,6533.677188,20.49206317
2015,Dairy,Million pounds,Other cheese,321.132158,7136.924,307.33,390.167,7834.421,571.409,56.64073099,,,445.013,6761.358269,21.05475301
2016,Dairy,Million pounds,Other cheese,323.34877,7401.497,322.478,445.013,8168.988,518.313,55.27381182,,,471.931,7123.470188,22.03029932
