Year,Variable,Unit,Commodity,Population,Production,Imports,Beginning stocks,Supply,Exports,Shipments to U.S. territories,Nonfood use,Indirect use,Ending stocks,Amount,Pcc Amount Product Weight,Pcc Amount Fat-Content, 
1996,Added fats and oils,Million pounds,Tallow,269.667,1519.6,5.326769,43.057,1567.983769,229.241284,,193.919,327.1,33.318,784.405485,2.908793011,2.908793011,
1997,Added fats and oils,Million pounds,Tallow,272.912,1416.223,5.759221443,33.318,1455.300221,184.8607785,,325.952,312.642,47.364,584.4814429,2.141648014,2.141648014,
1998,Added fats and oils,Million pounds,Tallow,276.115,1536.791,2.279387346,47.364,1586.434387,246.4747246,,173.2,259.3,39.121,868.3386628,3.144844223,3.144844223,
1999,Added fats and oils,Million pounds,Tallow,279.295,1729.26,6.799607608,39.121,1775.180608,317.0696532,,160.542,267.986,33.27,996.3129544,3.567242358,3.567242358,
2000,Added fats and oils,Million pounds,Tallow,282.385,1825,7.426434554,33.27,1865.696435,247.6410534,,166.453,289.808,36.7,1125.094381,3.984256887,3.984256887,
2001,Added fats and oils,Million pounds,Tallow,285.309019,1791.687,31.13301711,36.7,1859.520017,364.4510232,,271.258,314.861,40.26,868.6899939,3.044733731,3.044733731,
2002,Added fats and oils,Million pounds,Tallow,288.104818,1974.111,8.708801442,40.26,2023.079801,511.452566,,262.534,250.237,25.266,973.5902354,3.379291753,3.379291753,
2003,Added fats and oils,Million pounds,Tallow,290.819634,1965.708,4.685789579,25.266,1995.65979,419.7031121,,207.25,237.474,23.6,1107.632678,3.808658522,3.808658522,
2004,Added fats and oils,Million pounds,Tallow,293.463185,1817.691,0.966444555,23.6,1842.257445,255.3784896,,166.835,234.422,22.344,1163.277955,3.963965548,3.963965548,
2005,Added fats and oils,Million pounds,Tallow,296.186216,1812.5,1.04101369,22.344,1835.885014,293.4519345,,178.575,223.372,24.712,1115.774079,3.767137088,3.767137088,
2006,Added fats and oils,Million pounds,Tallow,298.995825,1861.3,6.519677934,24.712,1892.531678,274.9026066,,200.992,221.585,34.6,1160.452071,3.8811648,3.8811648,
2007,Added fats and oils,Million pounds,Tallow,302.003917,1788.939,7.465641551,34.6,1831.004642,388.1906464,,320.342,194.143,38.882,889.4469951,2.945150526,2.945150526,
2008,Added fats and oils,Million pounds,Tallow,304.797761,1793.8,30.28471384,38.882,1862.966714,185.3058932,,589.6,161.7,30.1,896.2608206,2.940509857,2.940509857,
2009,Added fats and oils,Million pounds,Tallow,307.439406,1837.3,35.88893351,30.1,1903.288934,161.8152402,,1237.8,261.4,30.7,211.5736933,0.68818014,0.68818014,
2010,Added fats and oils,Million pounds,Tallow,309.76667,1859.34608,23.25883044,30.7,1913.30491,182.7482407,,514.07536,161.38468,37.602,1017.49463,3.28471307,3.28471307,
