Year,Variable,Unit,Commodity,Population,Production,Imports,Beginning stocks,Supply,Exports,Nonfood use,Shipments to U.S. territories,"Food, alcohol, and industrial use",Seed,Feed and residual use,Ending stocks,Amount,Pcc Amount (pounds)
1998,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,5.4
1999,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,5.8
2000,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,6.2
2001,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,6.6
2002,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,7
2003,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,7.4
2004,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,7.8
2005,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,8.1
2006,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,8.5
2007,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,8.9
2008,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,9.3
2009,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,9.3
2010,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,9.3
2011,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,9.594059391
2012,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,9.536040609
2013,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,9.536040609
2014,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,9.5
2015,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,9.5
2016,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,9.5
2017,Grains,Pounds,Corn hominy and grits,,,,,,,,,,,,,,9.5
1970,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,1.9
1971,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,1.9
1972,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,1.9
1973,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,2
1974,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,2.1
1975,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,2.1
1976,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,2.2
1977,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,2.3
1978,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,2.5
1979,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,2.7
1980,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,2.7
1981,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,2.9
1982,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,2.9
1983,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,3.3
1984,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,3.5
1985,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,3.7
1986,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.1
1987,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.3
1988,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.1
1989,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.1
1990,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4
1991,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,3.991796923
1992,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.190620791
1993,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.38903835
1994,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.5
1995,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.7
1996,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.9
1997,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.8
1998,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.8
1999,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.7
2000,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.7
2001,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.6
2002,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.6
2003,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.6
2004,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.5
2005,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.5
2006,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.4
2007,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.4
2008,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.4
2009,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.4
2010,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.5
2011,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.642286802
2012,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.614213198
2013,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.614213198
2014,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.6
2015,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.6
2016,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.7
2017,Grains,Pounds,Corn food starch,,,,,,,,,,,,,,4.7
